City,District,Price,Brand,Series,Model,Year,Fuel,Tranmission,Km,Chasis,Power,Engine,Drive,Color,From
Denizli,Acıpayam,12000,Kia,Sephia,1.5 GTX,1998,Benzin & LPG,Manuel,159000,Sedan,80,1498,Forward,Mavi,Dealer
Adana,Seyhan,72000,BMW,3 Serisi,320d Premium,2008,Dizel,Yarı Otomatik,230000,Sedan,177,1995,Back,Siyah,Dealer
İstanbul,Sarıyer,715920,Maserati,GranTurismo,4.2,2012,Benzin,Otomatik,30100,Coupe,405,4244,Back,Füme,Dealer
İstanbul,Sarıyer,633330,Maserati,GranTurismo,4.2,2012,Benzin,Otomatik,30100,Coupe,405,4244,Back,Füme,Dealer
İstanbul,Maltepe,277000,Mercedes - Benz,CLA,45 AMG,2013,Benzin,Yarı Otomatik,513,Coupe,360,1991,4WD,Füme,Dealer
İstanbul,Maltepe,275000,Mercedes - Benz,CLA,45 AMG,2013,Benzin,Yarı Otomatik,513,Coupe,360,1991,4WD,Füme,Dealer
Karabük,Merkez,60000,Skoda,Octavia,1.4 TSI Elegance,2012,Benzin,Yarı Otomatik,111000,Sedan,101,1201,Forward,Beyaz,Owner
İstanbul,Üsküdar,36750,Seat,Toledo,1.6 Reference,2006,Benzin,Manuel,132000,Hatchback 5 kapı,102,1595,Forward,Siyah,Dealer
Kayseri,Kocasinan,31000,Peugeot,307,1.6 Premium,2004,Benzin & LPG,Yarı Otomatik,189000,Hatchback 5 kapı,101,1401,Forward,Mavi,Dealer
Kayseri,Kocasinan,31000,Peugeot,307,1.6 Premium,2004,Benzin & LPG,Yarı Otomatik,189000,Hatchback 5 kapı,101,1401,Forward,Mavi,Dealer
İstanbul,Bağcılar,706500,Bentley,Continental,GT,2006,Benzin,Otomatik,56000,Coupe,551,5501,Back,Siyah,Dealer
İstanbul,Esenyurt,66250,Alfa Romeo,Giulietta,1.4 TB MultiAir Distinctive,2011,Benzin,Manuel,95000,Hatchback 5 kapı,170,1368,Forward,Gümüş Gri,Owner
İstanbul,Beşiktaş,753600,Bentley,Continental,Flying Spur,2008,Benzin,Yarı Otomatik,39955,Sedan,560,5998,4WD,Siyah,Dealer
Balıkesir,Bandırma,183000,BMW,5 Serisi,520d Exclusive,2012,Dizel,Otomatik,243000,Sedan,184,1995,Back,Beyaz,Dealer
İstanbul,Bahçelievler,470000,Porsche,Panamera,Panamera Diesel,2012,Dizel,Otomatik,100000,Hatchback 5 kapı,250,2967,Back,Beyaz,Dealer
İstanbul,Bahçelievler,470000,Porsche,Panamera,Panamera Diesel,2012,Dizel,Otomatik,100000,Hatchback 5 kapı,250,2967,Back,Beyaz,Dealer
İstanbul,Üsküdar,24750,Peugeot,206,1.4 HDi Desire,2004,Dizel,Manuel,202000,Hatchback 5 kapı,70,1398,Forward,Gümüş Gri,Dealer
Kayseri,Kocasinan,24900,Peugeot,206,1.4 X-Line,2004,Benzin & LPG,Otomatik,129000,Hatchback 5 kapı,51,1201,Forward,Mavi,Dealer
İstanbul,Üsküdar,19900,Renault,R 12,TX,1989,Benzin,Manuel,60000,Sedan,51,1201,Forward,Bordo,Dealer
Ankara,Etimesgut,33500,Chevrolet,Lacetti,1.4 WTCC,2009,Benzin & LPG,Manuel,112000,Hatchback 5 kapı,76,1201,Forward,Mavi,Dealer
Ankara,Etimesgut,33500,Chevrolet,Lacetti,1.4 WTCC,2009,Benzin & LPG,Manuel,112000,Hatchback 5 kapı,76,1201,Forward,Mavi,Dealer
Ankara,Etimesgut,32500,Chevrolet,Lacetti,1.4 WTCC,2009,Benzin & LPG,Manuel,112000,Hatchback 5 kapı,76,1201,Forward,Mavi,Dealer
İstanbul,Fatih,150500,BMW,3 Serisi,320d M Sport,2013,Dizel,Yarı Otomatik,82000,Sedan,184,1995,Back,Beyaz,Dealer
Ankara,Akyurt,290000,Mercedes - Benz,S,S 320 320 CDI L,2008,Dizel,Otomatik,100000,Sedan,226,2501,Back,Gümüş Gri,Dealer
Ankara,Akyurt,290000,Mercedes - Benz,S,S 320 320 CDI L,2008,Dizel,Otomatik,100000,Sedan,226,2501,Back,Gümüş Gri,Dealer
Ankara,Çankaya,158000,Mercedes - Benz,C,C 180 AMG 7G-Tronic,2014,Benzin,Yarı Otomatik,68000,Sedan,151,1401,Back,Beyaz,Owner
İzmir,Konak,110000,Audi,A5,A5 Coupe 1.8 TFSI,2011,Benzin,Otomatik,61000,Coupe,151,1601,Forward,Beyaz,Dealer
Antalya,Muratpaşa,906675,Porsche,Panamera,Panamera Diesel,2015,Dizel,Otomatik,23923,Hatchback 5 kapı,276,2501,Back,Beyaz,Dealer
Antalya,Muratpaşa,873950,Porsche,Panamera,Panamera Diesel,2015,Dizel,Otomatik,23923,Hatchback 5 kapı,276,2501,Back,Beyaz,Dealer
İstanbul,Beşiktaş,306150,Porsche,Cayman,Cayman,2011,Benzin,Otomatik,53290,Coupe,245,2687,Back,Siyah,Dealer
İstanbul,Beşiktaş,295100,Porsche,Cayman,Cayman,2011,Benzin,Otomatik,53290,Coupe,245,2687,Back,Siyah,Dealer
İstanbul,Beşiktaş,295100,Porsche,Cayman,Cayman,2011,Benzin,Otomatik,53290,Coupe,245,2687,Back,Siyah,Dealer
Denizli,Pamukkale,90000,BMW,3 Serisi,320d Premium,2010,Dizel,Yarı Otomatik,142000,Sedan,177,1995,Back,Beyaz,Owner
İzmir,Bornova,55000,Opel,Insignia,1.6 T Edition Elegance,2011,Benzin,Manuel,94000,Sedan,176,1401,Forward,Mavi,Owner
Aydın,Kuşadası,90000,Chrysler,300 C,3.0 CRD,2006,Dizel,Otomatik,223000,Sedan,201,2501,Back,Siyah,Owner
Ankara,Keçiören,36000,Honda,Accord,2.0 Sport,2004,Benzin & LPG,Otomatik,223000,Sedan,155,1998,Forward,Gümüş Gri,Owner
Kayseri,Melikgazi,65250,Audi,A3,A3 Sportback 1.6 Attraction,2010,Benzin & LPG,Yarı Otomatik,104000,Hatchback 5 kapı,101,1401,Forward,Beyaz,Dealer
İstanbul,Bağcılar,19750,Chevrolet,Aveo,1.2 S,2006,Benzin,Manuel,177000,Hatchback 5 kapı,72,1150,Forward,Gümüş Gri,Dealer
İstanbul,Bağcılar,19750,Chevrolet,Aveo,1.2 S,2006,Benzin,Manuel,177000,Hatchback 5 kapı,72,1150,Forward,Gümüş Gri,Dealer
İstanbul,Ataşehir,1153950,Porsche,911,Carrera 4S,2013,Benzin,Yarı Otomatik,12500,Cabrio,376,3501,4WD,Beyaz,Dealer
İstanbul,Ataşehir,1112300,Porsche,911,Carrera 4S,2013,Benzin,Yarı Otomatik,12500,Cabrio,376,3501,4WD,Beyaz,Dealer
İstanbul,Fatih,55000,Audi,A4,A4 Sedan,2005,Benzin & LPG,Yarı Otomatik,115250,Sedan,130,1984,Forward,Mavi,Owner
İstanbul,Fatih,,Audi,A4,A4 Sedan,2005,Benzin & LPG,Yarı Otomatik,115250,Sedan,130,1984,Forward,Mavi,Owner
İstanbul,Fatih,55000,Audi,A4,A4 Sedan,2005,Benzin & LPG,Yarı Otomatik,115250,Sedan,130,1984,Forward,Mavi,Owner
Samsun,Vezirköprü,125000,BMW,3 Serisi,320i,2008,Benzin,Otomatik,123000,Cabrio,170,1995,Back,Siyah,Dealer
İstanbul,Arnavutköy,9750,Seat,Marbella,903 Special,1991,Benzin,Manuel,113500,Hatchback 3 kapı,40,903,Forward,Yeşil,Dealer
Gaziantep,Şehitkamil,142000,Audi,A5,A5 Coupe,2012,Dizel,Yarı Otomatik,76872,Coupe,177,1968,Forward,Beyaz,Owner
